name,artists,energy,ranking,danceability,valence,instrumentalness,loudness,duration_ms,tempo,country
Never Lose Me,Flo Milli,0.6418979409131601,1.0,0.7904950931745508,0.04180923866552608,0.0,0.044680847712138407,-1.2216839951948466,0.06111958981950629,US
Double Standards,Don Toliver,0.7268905182280747,0.4987468671679198,0.6725107509096926,0.6760051325919589,1.7985611510791366e-06,-0.1300490642297763,-0.281057090765602,0.1001444370136626,US
12 Hz High Level Cognition,Brainy,0.0,0.33166248955722644,0.011026574043444703,0.01218990590248075,0.7255909558067831,-8.170058577791016,-1.076327730374865,-1.9290752147685561,US
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",0.8152827986355857,0.24812030075187974,0.7772632043224172,0.5722840034217279,2.63103802672148e-06,0.6221656402443988,0.6510194451448201,-0.011210321770404912,US
Bed Peace,"Jhené Aiko, Childish Gambino",0.6384982378205636,0.19799498746867172,0.6217885103098468,0.2825064157399486,3.771839671120246e-05,0.056118599608057526,0.6521710099284999,-0.015337253662922514,US
Down With Me,Lil Tecca,0.6634293938329385,0.16457811194653305,0.7144117322747823,0.46642429426860554,0.0,0.6593991730119657,-1.3061368775179631,-0.19380895743582585,US
Crew (feat. Brent Faiyaz & Shy Glizzy),"GoldLink, Brent Faiyaz, Shy Glizzy",0.6849608467527168,0.1407089151450054,0.7320542507442939,0.43862275449101795,0.0,-0.09135539292230481,-0.49044035755817983,0.34953420725535217,US
KRZY TRAIN,"Trippie Redd, Travis Scott",0.46058044264134257,0.12280701754385959,0.6669974638879702,0.28357570573139435,0.0,-2.0068138008537937,0.3394204092408649,1.8019246241658782,US
I'M ON ONE (feat. Drake),"Future, Drake",0.7982842831726028,0.10888331940963525,0.7816738339397951,0.08361847733105217,1.0688591983556012e-05,0.5674104449979772,0.3658200319067241,-1.5677152660746163,US
5X,Don Toliver,0.5841029883390183,0.09774436090225569,0.9195060094828539,0.816082121471343,0.0,0.25567086672834993,-1.1281769347600477,0.8977645281350384,US
FOREVER AGAIN,Yeat,0.9308727037838694,0.08863066757803595,0.5898114455838572,0.17557741659538065,1.2024665981500513e-05,1.038548480540521,-0.15893364545636027,0.16820261208324838,US
Noid,"Tyler, The Creator",0.869678048117131,0.08103592314118635,0.3483294740324182,0.4653550042771599,0.0001551901336073998,0.4985405771991446,1.107226228759365,-1.380193273063736,US
